X,Y,fid,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,DENSIDADE,tocantins_,tocantin_1,tocantin_2,tocantin_3,icon_url
-47.8464415990647,-11.5410699464372,37,"1705102",Chapada da Natividade,TO,1640.833000000000084,2.030000000000000,TO,"17","5102","3331",./0.png
-48.5301153052984,-8.07643562158844,38,"1705508",Colinas do Tocantins,TO,842.488000000000056,42.554000000000002,TO,"17","5508","35851",./3.png
-46.5037486454667,-12.8462830071986,39,"1705557",Combinado,TO,208.790999999999997,23.282000000000000,TO,"17","5557","4861",./0.png
-47.3036734935365,-12.1710342297739,40,"1705607",Conceição do Tocantins,TO,2530.646999999999935,1.615000000000000,TO,"17","5607","4087",./0.png
-49.1624472472483,-8.43674456191096,41,"1706001",Couto Magalhães,TO,1584.195999999999913,3.560000000000000,TO,"17","6001","5639",./0.png
-49.3124084503125,-10.6363817793389,42,"1706100",Cristalândia,TO,1850.750000000000000,3.932000000000000,TO,"17","6100","7278",./0.png
-49.0727468999883,-11.1718617936404,43,"1706258",Crixás do Tocantins,TO,983.765999999999963,1.764000000000000,TO,"17","6258","1735",./0.png
-47.7678775112424,-6.76341286081435,44,"1706506",Darcinópolis,TO,1641.769999999999982,3.761000000000000,TO,"17","6506","6174",./0.png
-46.7957506264814,-11.6948034266731,45,"1707009",Dianópolis,TO,3318.094000000000051,6.758000000000000,TO,"17","7009","22424",./1.png
-49.3547540033033,-9.695133727659,46,"1707108",Divinópolis do Tocantins,TO,2358.282000000000153,2.944000000000000,TO,"17","7108","6943",./0.png
-49.066932506261,-9.27093677662637,47,"1707207",Dois Irmãos do Tocantins,TO,3747.644999999999982,1.917000000000000,TO,"17","7207","7185",./0.png
-49.3912765587323,-11.4272282651106,48,"1707306",Dueré,TO,3420.657000000000153,1.370000000000000,TO,"17","7306","4686",./0.png
-48.5403192000328,-5.32629213467776,49,"1707405",Esperantina,TO,506.175000000000011,22.006000000000000,TO,"17","7405","11139",./1.png
-48.8723265849096,-10.8097574020521,50,"1707553",Fátima,TO,380.372999999999990,10.069000000000001,TO,"17","7553","3830",./0.png
-49.2827923644522,-12.2634705635094,51,"1707652",Figueirópolis,TO,1935.709000000000060,2.709000000000000,TO,"17","7652","5243",./0.png
-47.7937479436696,-7.49668043566717,52,"1707702",Filadélfia,TO,1991.258000000000038,4.456000000000001,TO,"17","7702","8874",./1.png
-50.098090648688,-11.958272717887,53,"1708205",Formoso do Araguaia,TO,13431.861000000000786,1.370000000000000,TO,"17","8205","18399",./1.png
-48.5460248326231,-9.07143154320602,54,"1708254",Tabocão,TO,624.462999999999965,4.167000000000000,TO,"17","8254","2602",./0.png
-49.0111942735006,-8.87320396759489,55,"1708304",Goianorte,TO,1797.229000000000042,2.854000000000000,TO,"17","8304","5130",./0.png
-47.48153445587,-8.0941610908645,56,"1709005",Goiatins,TO,6414.845999999999549,2.041000000000000,TO,"17","9005","13095",./1.png
-48.4416733370654,-8.73846669114421,57,"1709302",Guaraí,TO,2275.561999999999898,11.497999999999999,TO,"17","9302","26165",./1.png
-48.8873574744987,-11.6515970308009,58,"1709500",Gurupi,TO,1844.163999999999987,47.470999999999997,TO,"17","9500","87545",./2.png
-48.403522429523,-11.1350823943842,59,"1709807",Ipueiras,TO,821.152000000000044,2.499000000000000,TO,"17","9807","2052",./0.png
-47.6693177132806,-8.57153309769397,60,"1710508",Itacajá,TO,3047.204000000000178,2.446000000000000,TO,"17","10508","7452",./0.png
-47.5950733166271,-5.80272767304114,61,"1710706",Itaguatins,TO,730.163000000000011,7.987000000000000,TO,"17","10706","5832",./0.png
-48.0333177132281,-8.31630548831583,62,"1710904",Itapiratins,TO,1246.348999999999933,3.045000000000000,TO,"17","10904","3795",./0.png
-48.7526081164497,-8.45120848183178,63,"1711100",Itaporã do Tocantins,TO,969.793999999999983,2.495000000000000,TO,"17","11100","2420",./0.png
-48.6454850509932,-12.7477369311854,64,"1711506",Jaú do Tocantins,TO,2167.201000000000022,1.789000000000000,TO,"17","11506","3878",./0.png
-49.1103328400637,-8.14080766135645,65,"1711803",Juarina,TO,483.451999999999998,4.518000000000000,TO,"17","11803","2184",./0.png
-50.1607222924325,-11.0349988264308,66,"1711902",Lagoa da Confusão,TO,10563.181000000000495,1.295000000000000,TO,"17","11902","13676",./1.png
-47.4811444109806,-10.3418625791244,67,"1711951",Lagoa do Tocantins,TO,917.631999999999948,4.787000000000000,TO,"17","11951","4393",./0.png
-48.2909522598343,-9.85056180091985,68,"1712009",Lajeado,TO,318.291999999999973,9.949999999999999,TO,"17","12009","3167",./0.png
-46.4104550379017,-12.8126273494055,69,"1712157",Lavandeira,TO,468.005999999999972,4.175000000000000,TO,"17","12157","1954",./0.png
-46.9389528926338,-9.52482572729163,70,"1712405",Lizarda,TO,5716.640999999999622,0.653000000000000,TO,"17","12405","3733",./0.png
-47.8307421677558,-6.20601934348319,71,"1712454",Luzinópolis,TO,281.543000000000006,11.202999999999999,TO,"17","12454","3154",./0.png
